--- Typography Audit ---
body                                     | Size: var(--font-size-base)     | Family: var(--font-family-base)
.review-episode .comment                 | Size: 1rem                      | Family: N/A
.faq-category h3                         | Size: 1.3rem                    | Family: N/A
summary::before                          | Size: 0.95rem                   | Family: N/A
summary::after                           | Size: 1.5rem                    | Family: N/A
details p::before                        | Size: 1.3rem                    | Family: N/A
.shop-info-block h2,
.shop-access-block h2 | Size: 2rem                      | Family: N/A
.btn-copy-address                        | Size: 0.8rem                    | Family: N/A
.access-card-text h3                     | Size: 1.05rem                   | Family: N/A
.access-card-text p                      | Size: 0.95rem                   | Family: N/A
#cta-1 h2, #cta-2 h2                     | Size: 2.2rem                    | Family: N/A
.final-cta-sub                           | Size: 1.1rem                    | Family: N/A
.btn-final-web                           | Size: 1.25rem                   | Family: N/A
.btn-final-line                          | Size: 1.05rem                   | Family: N/A
.footer-left .footer-nap p               | Size: 0.95rem                   | Family: N/A
.footer-left .footer-tel                 | Size: 1.15rem                   | Family: N/A
.sns-label                               | Size: 1rem                      | Family: N/A
.footer-bottom                           | Size: 0.8rem                    | Family: N/A
#floating-qr>p.qr-title                  | Size: 1.15rem                   | Family: N/A
#floating-qr .qr-text                    | Size: 0.8rem                    | Family: N/A
.hero-content .main-message              | Size: 2rem                      | Family: N/A
.hero-content .sub-message               | Size: 1rem                      | Family: N/A
.intent-bridge-inner h2                  | Size: 1.5rem                    | Family: N/A
.intent-bridge-inner p                   | Size: 0.95rem                   | Family: N/A
.intent-bridge-highlight p               | Size: 0.95rem                   | Family: N/A
.concern-card h3                         | Size: 1.15rem                   | Family: N/A
.concern-card p                          | Size: 0.95rem                   | Family: N/A
.access-step-body h3                     | Size: 1rem                      | Family: N/A
.access-step-body p                      | Size: 0.9rem                    | Family: N/A
.story-tag                               | Size: 0.85rem                   | Family: N/A
.story-card p                            | Size: 0.95rem                   | Family: N/A
.pricing-card h3                         | Size: 1.15rem                   | Family: N/A
.price-label                             | Size: 0.9rem                    | Family: N/A
.price-main                              | Size: 2.1rem                    | Family: N/A
.price-normal                            | Size: 0.85rem                   | Family: N/A
.pricing-badge                           | Size: 0.85rem                   | Family: N/A
}

#floating-qr .qr-title                | Size: 1.05rem                   | Family: N/A
.mobile-sticky-cta .btn                  | Size: 0.9rem                    | Family: N/A
.amenities-container h2                  | Size: 2.2rem                    | Family: N/A
.amenity-content h3                      | Size: 1.3rem                    | Family: N/A
.amenity-number                          | Size: 0.85rem                   | Family: N/A
.amenity-content p                       | Size: 0.95rem                   | Family: N/A
.amenities-container h2                  | Size: 1.8rem                    | Family: N/A
.step-badge-blue                         | Size: 1.1rem                    | Family: N/A
.step-title-inline                       | Size: 1.3rem                    | Family: N/A
.step-desc                               | Size: 1.15rem                   | Family: N/A
}


.trainer-info-list                   | Size: 0.9rem                    | Family: N/A
.btn-google-map                          | Size: 0.95rem                   | Family: N/A
.bottom-cta-banner                       | Size: N/A                       | Family: 'Noto Sans JP', sans-serif
.bottom-cta-banner h3                    | Size: clamp(1.5rem, 4vw, 2.2rem) | Family: N/A
.bottom-cta-banner .btn-web-outline      | Size: 1.1rem                    | Family: N/A
.hero-highlight                          | Size: 1.25em                    | Family: N/A
.bottom-cta-banner .btn-line-outline     | Size: 1.1rem                    | Family: N/A
.btn-copy-icon                           | Size: 1.1rem                    | Family: N/A
